,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,churn_probability,risk_tier
1734,1,0,0,0,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,1,0.16278117587662463,-0.9809068338187896,False,True,False,0.979863,High
2922,1,0,0,0,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,1,0.16278117587662463,-0.9809068338187896,False,True,False,0.979863,High
3676,1,0,0,0,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,1,0.13620836912328876,-0.9812584228560478,False,True,False,0.979863,High
807,1,0,0,0,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,1,0.15115557292204007,-0.98106065402259,False,True,False,0.979863,High
1726,0,1,0,0,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,1,0.15281637334412346,-0.9810386797077615,False,True,False,0.9787947,High
2602,1,1,0,0,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,1,0.15779877461037406,-0.9809727567632756,False,True,False,0.9785588,High
6545,0,0,0,0,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,0,0.12126116532453794,-0.9814561916895054,False,True,False,0.9762488,High
2748,0,0,0,0,-1.2861451872261143,1,1,2,0,0,0,0,1,1,0,0,1.0180933932496108,-0.9695900616820456,False,False,True,0.97231764,High
2895,0,1,1,1,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,1,0.14119077038953937,-0.9811924999115619,False,True,False,0.96989566,High
5218,1,0,0,0,-1.041648797332788,1,1,2,0,0,0,0,1,1,0,0,1.036362197892529,-0.7304875420317316,False,True,False,0.9689415,High
2626,1,1,1,0,-1.041648797332788,1,1,2,0,0,1,0,1,1,0,1,1.1376710236396204,-0.7191707698949875,False,True,False,0.96633166,High
1140,1,0,0,0,-1.2861451872261143,0,0,1,0,0,0,0,0,1,0,1,-0.9781887140947184,-0.9960031881060578,False,True,False,0.9649091,High
3816,0,0,1,1,-1.0823981956483424,1,1,2,0,1,1,0,1,0,0,1,0.9649477797429397,-0.7836434096021856,False,False,True,0.9648556,High
2459,0,0,0,0,-1.2861451872261143,1,1,2,0,0,0,0,0,0,0,1,0.4035972370787276,-0.9777205581686385,False,True,False,0.96412545,High
2512,1,1,0,0,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,1,0.1494947724999567,-0.9810826283374187,False,False,False,0.96228755,High
3899,0,0,1,0,-1.2861451872261143,1,0,2,0,0,0,0,1,0,0,0,0.45840365100748176,-0.9769954057792936,False,True,False,0.9621254,High
5673,0,0,1,0,-1.2861451872261143,0,0,1,0,0,0,0,0,1,0,0,-0.9964575187376365,-0.9962449055691728,False,True,False,0.9616396,High
3721,0,0,0,0,-1.2046463905950056,1,1,2,0,0,0,0,1,1,0,1,1.0496486012691963,-0.8833408759796761,False,True,False,0.9596667,High
4577,0,1,0,0,-1.2861451872261143,1,1,2,0,0,0,0,0,1,0,1,0.6660037037679153,-0.9742486164257149,False,True,False,0.9559337,High
1070,1,0,0,0,-1.041648797332788,1,1,2,0,0,1,0,1,1,0,1,1.097811813509617,-0.6982731964929613,False,False,False,0.9554838,High
6828,0,0,0,0,-0.8786512040705705,1,1,2,0,0,1,0,1,1,0,1,1.1874950363021244,-0.515117282396337,False,True,False,0.95519036,High
5817,0,0,1,0,-1.2861451872261143,1,0,2,0,0,0,0,1,0,0,1,0.4766724556503998,-0.9767536883161788,False,False,False,0.95090574,High
5291,0,0,1,1,-1.2861451872261143,1,0,2,0,0,0,0,1,0,0,1,0.49992366155956847,-0.9764460479085779,False,False,True,0.94837326,High
260,1,1,0,0,-1.2046463905950056,0,0,1,0,0,1,0,0,1,0,1,-0.79217906682137,-0.9535268375423178,False,True,False,0.947956,High
5619,0,0,0,0,-0.7971524074394618,1,1,2,1,1,0,0,1,0,0,1,1.0513094016912803,-0.4646862298646331,False,True,False,0.94792336,High
2792,1,0,0,0,-1.2046463905950056,1,1,2,0,0,1,0,1,1,0,1,1.1941382379904584,-0.8666184223950893,False,True,False,0.9470452,High
6603,1,0,1,1,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,1,0.16278117587662463,-0.9809068338187896,False,False,True,0.94483227,High
2511,0,1,0,0,-0.6749042124927986,1,1,2,0,0,0,0,1,1,0,1,1.0430053995808628,-0.3167111938086442,False,True,False,0.93984854,High
3374,1,1,1,0,-1.2861451872261143,1,1,2,0,0,0,0,1,1,0,1,0.9998245886066923,-0.9698317791451606,False,True,False,0.9390975,High
3154,1,1,0,0,-1.2046463905950056,1,1,2,0,0,0,0,1,1,0,1,0.9915205864962751,-0.8640694018749684,False,True,False,0.93898946,High
6500,1,1,1,0,-1.2861451872261143,0,0,1,0,0,0,0,0,0,0,0,-1.326956802732247,-1.00061779422007,False,True,False,0.93452877,High
6624,0,0,0,0,-1.2861451872261143,1,1,2,0,0,0,0,0,0,0,1,0.31557481470830356,-0.9788851968545558,False,True,False,0.9343228,High
5697,0,0,0,0,-1.2861451872261143,1,0,2,0,1,0,0,0,0,0,1,0.3554340248383069,-0.9783578132986688,False,True,False,0.93371004,High
6780,1,0,0,0,-0.5526560175461356,0,0,1,0,0,1,0,1,0,0,1,-0.842003079483874,-0.6893296503577092,False,True,False,0.93124175,High
1330,0,1,0,0,-1.2861451872261143,0,0,1,0,0,0,0,0,0,0,1,-1.3219744014659962,-1.0005518712755843,False,True,False,0.92984223,High
